Unit;ADR13;ADR16;Ocurrences;Class DeF
org.apache.hadoop.hbase.types.RawLong;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.types.RawShort;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.types.RawString;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.types.RawStringFixedLength;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.types.RawStringTerminated;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.types.Struct;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.types.StructBuilder;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.types.StructIterator;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.types.TerminatedWrapper;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.types.Union2;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.types.Union3;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.types.Union4;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.AbstractByteRange;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.util.AbstractPositionedByteRange;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.util.Addressing;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.ArrayUtils;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.util.Base64;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.util.Base64$Base64InputStream;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.Base64$Base64OutputStream;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.BoundedCompletionService;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.BoundedCompletionService$QueueingFuture;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.ByteBufferArray;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.ByteBufferUtils;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.util.ByteRangeUtils;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.Bytes;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.util.Bytes$ByteArrayComparator;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.Bytes$LexicographicalComparerHolder;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.Bytes$RowEndKeyComparator;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.ChecksumFactory;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.ClassLoaderBase;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.ClassSize;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.Classes;1.0;1.0;2.0;1.0
