Unit;CPT01;
org.apache.hadoop.hbase.io.encoding.PrefixKeyDeltaEncoder;X;
org.apache.hadoop.hbase.io.encoding.RowIndexCodecV1;X;
org.apache.hadoop.hbase.io.encoding.RowIndexCodecV1$RowIndexEncodingState;X;
org.apache.hadoop.hbase.io.encoding.RowIndexEncoderV1;X;
org.apache.hadoop.hbase.io.encoding.RowIndexSeekerV1;X;
org.apache.hadoop.hbase.io.encoding.RowIndexSeekerV1$SeekerState;X;
org.apache.hadoop.hbase.io.hadoopbackport.ThrottledInputStream;X;
org.apache.hadoop.hbase.io.hfile.HFileContext;X;
org.apache.hadoop.hbase.io.hfile.HFileContextBuilder;X;
org.apache.hadoop.hbase.io.util.Dictionary;X;
org.apache.hadoop.hbase.io.util.LRUDictionary;X;
org.apache.hadoop.hbase.io.util.LRUDictionary$BidirectionalLRUMap;X;
org.apache.hadoop.hbase.io.util.LRUDictionary$BidirectionalLRUMap$ByteArrayBackedNode;X;
org.apache.hadoop.hbase.io.util.LRUDictionary$BidirectionalLRUMap$ByteBufferBackedNode;X;
org.apache.hadoop.hbase.io.util.LRUDictionary$BidirectionalLRUMap$Node;X;
org.apache.hadoop.hbase.io.util.StreamUtils;X;
org.apache.hadoop.hbase.log.HBaseMarkers;X;
org.apache.hadoop.hbase.net.Address;X;
org.apache.hadoop.hbase.nio.ByteBuff;X;
org.apache.hadoop.hbase.nio.MultiByteBuff;X;
org.apache.hadoop.hbase.nio.SingleByteBuff;X;
org.apache.hadoop.hbase.rsgroup.RSGroupInfo;X;
org.apache.hadoop.hbase.security.SecurityConstants;X;
org.apache.hadoop.hbase.security.Superusers;X;
org.apache.hadoop.hbase.security.User;X;
org.apache.hadoop.hbase.security.User$SecureHadoopUser;X;
org.apache.hadoop.hbase.security.User$TestingGroups;X;
org.apache.hadoop.hbase.security.UserProvider;X;
org.apache.hadoop.hbase.trace.HBaseHTraceConfiguration;X;
org.apache.hadoop.hbase.trace.SpanReceiverHost;X;
org.apache.hadoop.hbase.trace.TraceUtil;X;
org.apache.hadoop.hbase.types.CopyOnWriteArrayMap;X;
org.apache.hadoop.hbase.types.CopyOnWriteArrayMap$ArrayEntryIterator;X;
org.apache.hadoop.hbase.types.CopyOnWriteArrayMap$ArrayEntrySet;X;
org.apache.hadoop.hbase.types.CopyOnWriteArrayMap$ArrayHolder;X;
org.apache.hadoop.hbase.types.CopyOnWriteArrayMap$ArrayKeyIterator;X;
org.apache.hadoop.hbase.types.CopyOnWriteArrayMap$ArrayKeySet;X;
org.apache.hadoop.hbase.types.CopyOnWriteArrayMap$ArrayValueCollection;X;
org.apache.hadoop.hbase.types.CopyOnWriteArrayMap$ArrayValueIterator;X;
org.apache.hadoop.hbase.types.CopyOnWriteArrayMap$COWEntry;X;
org.apache.hadoop.hbase.types.DataType;X;
org.apache.hadoop.hbase.types.FixedLengthWrapper;X;
org.apache.hadoop.hbase.types.OrderedBlob;X;
org.apache.hadoop.hbase.types.OrderedBlobVar;X;
org.apache.hadoop.hbase.types.OrderedBytesBase;X;
org.apache.hadoop.hbase.types.OrderedFloat32;X;
org.apache.hadoop.hbase.types.OrderedFloat64;X;
org.apache.hadoop.hbase.types.OrderedInt16;X;
org.apache.hadoop.hbase.types.OrderedInt32;X;
org.apache.hadoop.hbase.types.OrderedInt64;X;
org.apache.hadoop.hbase.types.OrderedInt8;X;
org.apache.hadoop.hbase.types.OrderedNumeric;X;
org.apache.hadoop.hbase.types.OrderedString;X;
org.apache.hadoop.hbase.types.PBType;X;
org.apache.hadoop.hbase.types.RawByte;X;
org.apache.hadoop.hbase.types.RawBytes;X;
org.apache.hadoop.hbase.types.RawBytesFixedLength;X;
org.apache.hadoop.hbase.types.RawBytesTerminated;X;
org.apache.hadoop.hbase.types.RawDouble;X;
org.apache.hadoop.hbase.types.RawFloat;X;
org.apache.hadoop.hbase.types.RawInteger;X;
org.apache.hadoop.hbase.types.RawLong;X;
org.apache.hadoop.hbase.types.RawShort;X;
org.apache.hadoop.hbase.types.RawString;X;
org.apache.hadoop.hbase.types.RawStringFixedLength;X;
org.apache.hadoop.hbase.types.RawStringTerminated;X;
org.apache.hadoop.hbase.types.Struct;X;
org.apache.hadoop.hbase.types.StructBuilder;X;
org.apache.hadoop.hbase.types.StructIterator;X;
org.apache.hadoop.hbase.types.TerminatedWrapper;X;
org.apache.hadoop.hbase.types.Union2;X;
org.apache.hadoop.hbase.types.Union3;X;
org.apache.hadoop.hbase.types.Union4;X;
org.apache.hadoop.hbase.util.AbstractByteRange;X;
org.apache.hadoop.hbase.util.AbstractHBaseTool;X;
org.apache.hadoop.hbase.util.AbstractHBaseTool$OptionsOrderComparator;X;
org.apache.hadoop.hbase.util.AbstractPositionedByteRange;X;
org.apache.hadoop.hbase.util.Addressing;X;
org.apache.hadoop.hbase.util.Addressing$AddressSelectionCondition;X;
org.apache.hadoop.hbase.util.AtomicUtils;X;
org.apache.hadoop.hbase.util.AvlUtil;X;
org.apache.hadoop.hbase.util.AvlUtil$AvlInsertOrReplace;X;
org.apache.hadoop.hbase.util.AvlUtil$AvlIterableList;X;
org.apache.hadoop.hbase.util.AvlUtil$AvlKeyComparator;X;
org.apache.hadoop.hbase.util.AvlUtil$AvlLinkedNode;X;
org.apache.hadoop.hbase.util.AvlUtil$AvlNode;X;
org.apache.hadoop.hbase.util.AvlUtil$AvlNodeVisitor;X;
org.apache.hadoop.hbase.util.AvlUtil$AvlTree;X;
org.apache.hadoop.hbase.util.AvlUtil$AvlTreeIterator;X;
org.apache.hadoop.hbase.util.BoundedCompletionService;X;
org.apache.hadoop.hbase.util.BoundedCompletionService$QueueingFuture;X;
org.apache.hadoop.hbase.util.ByteArrayHashKey;X;
org.apache.hadoop.hbase.util.ByteBufferAllocator;X;
org.apache.hadoop.hbase.util.ByteBufferArray;X;
org.apache.hadoop.hbase.util.ByteBufferArray$BufferCreatorCallable;X;
org.apache.hadoop.hbase.util.ByteBufferArray$Visitor;X;
org.apache.hadoop.hbase.util.ByteBufferUtils;X;
