Unit;ADR06;ADR08;ADR13;ADR15;Ocurrences;Class DeF
org.apache.hadoop.hbase.io.TagCompressionContext;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.TimeRange;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.compress.Compression$FinishOnFlushCompressionStream;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.compress.ReusableStreamGzipCodec$ReusableGzipOutputStream$ResetableGZIPOutputStream;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.crypto.Cipher;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.crypto.Context;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.crypto.DefaultCipherProvider;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.crypto.Encryption$Context;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.encoding.BufferedDataBlockEncoder$BufferedDataBlockEncodingState;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.encoding.BufferedDataBlockEncoder$ClonedSeekerState;0.0;0.0;1.0;0.0;1.0;0.25
org.apache.hadoop.hbase.io.encoding.BufferedDataBlockEncoder$SeekerState;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.encoding.CompressionState;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.encoding.CopyKeyDataBlockEncoder;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.encoding.DiffKeyDeltaEncoder;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.encoding.DiffKeyDeltaEncoder$DiffCompressionState;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.encoding.DiffKeyDeltaEncoder$DiffSeekerState;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.encoding.EncodedDataBlock$BufferGrabbingByteArrayOutputStream;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.encoding.EncoderBufferTooSmallException;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.encoding.EncodingState;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.encoding.FastDiffDeltaEncoder;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.encoding.FastDiffDeltaEncoder$FastDiffCompressionState;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.encoding.FastDiffDeltaEncoder$FastDiffSeekerState;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.encoding.HFileBlockDefaultDecodingContext;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.encoding.PrefixKeyDeltaEncoder;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.hfile.HFileContextBuilder;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.util.HeapMemorySizeUtil;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.util.LRUDictionary;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.util.LRUDictionary$BidirectionalLRUMap;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.util.LRUDictionary$BidirectionalLRUMap$Node;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.util.StreamUtils;0.0;0.0;1.0;1.0;2.0;0.5
